iter	Passed	Remaining
0	1	165
1	3	161
2	4	158
3	6	151
4	8	154
5	9	150
6	11	150
7	12	149
8	14	146
9	16	144
10	17	142
11	19	140
12	20	140
13	22	138
14	23	135
15	25	133
16	26	131
17	28	129
18	29	126
19	33	132
20	35	131
21	36	128
22	37	126
23	39	125
24	41	123
25	42	121
26	44	119
27	45	118
28	56	139
29	59	138
30	61	136
31	63	133
32	65	132
33	68	132
34	70	130
35	72	129
36	74	127
37	76	125
38	79	123
39	81	122
40	84	121
41	85	117
42	87	115
43	88	113
44	92	113
45	95	112
46	99	112
47	101	109
48	103	107
49	106	106
50	108	104
51	110	101
52	113	100
53	114	97
54	116	94
55	117	92
56	121	91
57	122	88
58	124	86
59	126	84
60	128	81
61	129	79
62	131	77
63	133	74
64	134	72
65	136	70
66	138	68
67	140	66
68	142	63
69	143	61
70	145	59
71	147	57
72	148	55
73	150	52
74	151	50
75	153	48
76	155	46
77	157	44
78	158	42
79	160	40
80	161	37
81	163	35
82	165	33
83	167	31
84	168	29
85	170	27
86	172	25
87	173	23
88	175	21
89	176	19
90	178	17
91	180	15
92	181	13
93	183	11
94	185	9
95	186	7
96	188	5
97	189	3
98	191	1
99	193	0
